cell_type_1,cell_type_2,effect_size,p_value,mean_I_infected,mean_I_uninfected,delta_I,p_adj_fdr,significant,neg_log10_padj
CD4-Tcell_TH17,CD8-Tcell_Gamma-Delta-Il4,0.1874055343561828,0.0,0.1874055343561828,0.38615187409418994,-0.19874633973800715,0.0,True,300.0
CD8-Tcell_early-active,Myeloid_cDC1,-0.17877682689933977,0.0,-0.17877682689933977,0.01915740614892749,-0.19793423304826727,0.0,True,300.0
CD8-Tcell_early-active,Myeloid_moDC,-0.1764412204903224,0.0,-0.1764412204903224,-0.017525346694491767,-0.15891587379583064,0.0,True,300.0
Bcell_GC,CD8-Tcell_terminal,0.17283655215361798,0.0,0.17283655215361798,0.2508430789531366,-0.07800652679951864,0.0,True,300.0
CD8-Tcell_terminal,Myeloid_pDC,0.17219829484674903,0.0,0.17219829484674903,0.3215462486724335,-0.14934795382568444,0.0,True,300.0
CD8-Tcell_naive,Myeloid_marginalzone,-0.17204607584542647,0.0,-0.17204607584542647,-0.1194268509912608,-0.052619224854165675,0.0,True,300.0
CD8-Tcell_early-active,Endothelial,-0.17186322724320147,0.0,-0.17186322724320147,-0.06344467459812494,-0.10841855264507652,0.0,True,300.0
CD8-Tcell_Gamma-Delta-active,NK_ILC3,0.1717227984975282,0.0,0.1717227984975282,0.28830938071388457,-0.11658658221635637,0.0,True,300.0
CD8-Tcell_effector,NK_proliferating,0.1707160478545382,0.0,0.1707160478545382,0.3615885973292531,-0.19087254947471488,0.0,True,300.0
CD8-Tcell_terminal,Fibroblast_mesothelial,0.1707048111198402,0.0,0.1707048111198402,-0.033766112513469566,0.20447092363330976,0.0,True,300.0
Bcell_B1,CD8-Tcell_late-active,-0.1693985368920506,0.0,-0.1693985368920506,0.1876601618361583,-0.3570586987282089,0.0,True,300.0
CD8-Tcell_late-active,Myeloid_migratory,-0.16931632469531066,0.0,-0.16931632469531066,0.30609251560367123,-0.4754088402989819,0.0,True,300.0
CD8-Tcell_naive,Fibroblast_stromal,-0.1691928436748526,0.0,-0.1691928436748526,0.010108671419185807,-0.1793015150940384,0.0,True,300.0
CD8-Tcell_terminal,Myeloid_monocyte,-0.16744721375152402,0.0,-0.16744721375152402,0.009599069876485455,-0.17704628362800948,0.0,True,300.0
CD8-Tcell_Gamma-Delta-Il4,Fibroblast_piezo2,0.16733375418523122,0.0,0.16733375418523122,0.035995109778812394,0.13133864440641882,0.0,True,300.0
CD8-Tcell_Gamma-Delta-CD8,Myeloid_marginalzone,0.16444021463138492,0.0,0.16444021463138492,-0.033924324251697315,0.19836453888308223,0.0,True,300.0
CD8-Tcell_Gamma-Delta-Il4,Myeloid_Macrophage,0.1641735236189492,0.0,0.1641735236189492,0.14173140360172376,0.022442120017225453,0.0,True,300.0
CD8-Tcell_effector,Fibroblast_piezo2,0.16371584233082626,0.0,0.16371584233082626,0.201297760800398,-0.037581918469571735,0.0,True,300.0
CD8-Tcell_late-active,Erythrocyte_precursor,0.16214268652705371,0.0,0.16214268652705371,-0.02568656916402414,0.18782925569107786,0.0,True,300.0
CD8-Tcell_Gamma-Delta-CD8,NK_ILC3,0.16082066345401758,0.0,0.16082066345401758,0.2118781925061387,-0.05105752905212113,0.0,True,300.0
Bcell_naive,CD8-Tcell_terminal,0.15751719359709226,0.0,0.15751719359709226,0.2417646095967566,-0.08424741599966434,0.0,True,300.0
CD8-Tcell_late-active,Hematopoeitic_stem_cell,0.15507973538270464,0.0,0.15507973538270464,-0.026255885355563294,0.18133562073826792,0.0,True,300.0
CD8-Tcell_Gamma-Delta-CD8,Myeloid_moDC,0.1522048740464642,0.0,0.1522048740464642,0.06049395370320153,0.09171092034326268,0.0,True,300.0
CD8-Tcell_early-active,Myeloid_Macrophage,-0.14998126193357086,0.0,-0.14998126193357086,0.08256119977318169,-0.23254246170675255,0.0,True,300.0
CD8-Tcell_Gamma-Delta-active,Myeloid_Macrophage,0.14865376218884496,0.0,0.14865376218884496,0.23958318075492419,-0.09092941856607922,0.0,True,300.0
CD8-Tcell_late-active,NK_proliferating,0.14765115288719216,0.0,0.14765115288719216,0.19974045637919133,-0.05208930349199917,0.0,True,300.0
CD8-Tcell_effector,CD8-Tcell_terminal,-0.14693275714155615,0.0,-0.14693275714155615,0.22235914565918252,-0.36929190280073865,0.0,True,300.0
Bcell_naive,CD8-Tcell_late-active,-0.1463942361402447,0.0,-0.1463942361402447,0.24534336479423158,-0.3917376009344763,0.0,True,300.0
CD8-Tcell_Gamma-Delta-CD8,Endothelial,0.14305235504188224,0.0,0.14305235504188224,0.030253705372351045,0.1127986496695312,0.0,True,300.0
CD8-Tcell_early-active,Myeloid_monocyte,-0.14175571352469105,0.0,-0.14175571352469105,-0.07432141660818893,-0.06743429691650211,0.0,True,300.0
Bcell_plasma,CD8-Tcell_effector,0.14033613984402749,0.0,0.14033613984402749,0.17756180101855834,-0.037225661174530855,0.0,True,300.0
